brand_name,generic_name,manufacturer_name,product_type,active_ingredients,route,substance_name,application_number
,,,,[],,,ANDA088637
,,,,[],,,NDA018564
,,,,[],,,ANDA088640
,,,,[],,,ANDA088663
,,,,[],,,ANDA088665
,,,,[],,,ANDA088689
,,,,[],,,ANDA088700
,,,,[],,,ANDA088704
,,,,[],,,ANDA088705
,,,,[],,,ANDA088713
,,,,[],,,NDA018581
,,,,[],,,ANDA088721
,,,,[],,,NDA018582
,,,,[],,,ANDA088733
,,,,[],,,ANDA088744
,,,,[],,,ANDA088765
,,,,[],,,ANDA088789
,,,,[],,,ANDA088794
,,,,[],,,ANDA088796
,,,,[],,,ANDA088803
,,,,[],,,ANDA088810
,,,,[],,,ANDA088864
,,,,[],,,ANDA088866
,,,,[],,,ANDA088880
,,,,[],,,ANDA088881
,,,,[],,,ANDA088885
,,,,[],,,ANDA088901
,,,,[],,,ANDA088934
,,,,[],,,ANDA088942
,,,,[],,,ANDA088974
,,,,[],,,ANDA088990
,,,,[],,,ANDA089011
,,,,[],,,ANDA089013
,,,,[],,,ANDA089029
,,,,[],,,ANDA089048
,,,,[],,,ANDA089049
,,,,[],,,ANDA089051
,,,,[],,,ANDA089052
,,,,[],,,ANDA089057
,,,,[],,,ANDA089058
,,,,[],,,ANDA089060
,,,,[],,,NDA018620
,,,,[],,,ANDA089122
,,,,[],,,NDA018632
,,,,[],,,ANDA089129
,,,,[],,,ANDA089152
,,,,[],,,ANDA089160
,,,,[],,,ANDA089161
,,,,[],,,ANDA089171
,,,,[],,,ANDA089174
,,,,[],,,ANDA089175
,,,,[],,,NDA018644
,,,,[],,,ANDA089244
,,,,[],,,ANDA089247
,,,,[],,,ANDA089251
,,,,[],,,NDA018654
,,,,[],,,ANDA089281
,,,,[],,,ANDA089285
,,,,[],,,ANDA089316
,,,,[],,,ANDA089322
,,,,[],,,ANDA089330
,,,,[],,,ANDA089342
,,,,[],,,NDA018660
,,,,[],,,ANDA089359
,,,,[],,,ANDA089366
,,,,[],,,ANDA089388
,,,,[],,,NDA018667
,,,,[],,,ANDA089415
,,,,[],,,ANDA089422
,,,,[],,,ANDA089425
,,,,[],,,ANDA089438
,,,,[],,,ANDA089448
,,,,[],,,ANDA089476
,,,,[],,,ANDA089477
,,,,[],,,ANDA089478
,,,,[],,,ANDA089483
,,,,[],,,ANDA089484
,,,,[],,,ANDA089517
,,,,[],,,ANDA089532
,,,,[],,,ANDA089534
,,,,[],,,ANDA089536
,,,,[],,,ANDA089554
,,,,[],,,NDA018678
,,,,[],,,ANDA089576
,,,,[],,,ANDA089586
,,,,[],,,ANDA089591
,,,,[],,,ANDA089628
,,,,[],,,ANDA089636
,,,,[],,,ANDA089638
,,,,[],,,ANDA089661
,,,,[],,,ANDA089686
,,,,[],,,ANDA089717
,,,,[],,,NDA018685
,,,,[],,,ANDA089738
,,,,[],,,ANDA089742
,,,,[],,,NDA018686
,,,,[],,,ANDA089773
,,,,[],,,ANDA089781
,,,,[],,,ANDA089786
,,,,[],,,ANDA089796
,,,,[],,,ANDA089805
,,,,[],,,ANDA089815
,,,,[],,,ANDA089818
,,,,[],,,ANDA089823
,,,,[],,,NDA018701
,,,,[],,,ANDA089970
,,,,[],,,ANDA089971
,,,,[],,,ANDA090030
,,,,[],,,ANDA090035
,,,,[],,,ANDA090039
,,,,[],,,ANDA090054
,,,,[],,,NDA018709
,,,,[],,,ANDA090084
,,,,[],,,ANDA090102
,,,,[],,,ANDA090124
,,,,[],,,NDA008381
,,,,[],,,ANDA090174
,,,,[],,,ANDA090175
,,,,[],,,ANDA090182
,,,,[],,,ANDA090183
,,,,[],,,ANDA090187
,,,,[],,,ANDA090195
,,,,[],,,ANDA090231
,,,,[],,,ANDA090237
,,,,[],,,ANDA090246
,,,,[],,,ANDA090247
,,,,[],,,ANDA090250
,,,,[],,,ANDA090263
,,,,[],,,ANDA090279
,,,,[],,,ANDA090311
,,,,[],,,ANDA090317
,,,,[],,,ANDA090380
,,,,[],,,ANDA090382
,,,,[],,,ANDA090383
,,,,[],,,ANDA090411
,,,,[],,,NDA018750
,,,,[],,,ANDA090462
,,,,[],,,ANDA090475
,,,,[],,,ANDA090477
,,,,[],,,ANDA090486
,,,,[],,,ANDA090507
,,,,[],,,ANDA090510
,,,,[],,,ANDA090516
,,,,[],,,ANDA090521
,,,,[],,,ANDA090529
,,,,[],,,ANDA090541
,,,,[],,,ANDA090543
,,,,[],,,ANDA090545
,,,,[],,,NDA018768
,,,,[],,,ANDA090584
,,,,[],,,ANDA090595
,,,,[],,,BLA018780
,,,,[],,,ANDA090686
,,,,[],,,ANDA090687
,,,,[],,,ANDA090692
,,,,[],,,ANDA090700
,,,,[],,,NDA008420
,,,,[],,,ANDA090726
,,,,[],,,ANDA090733
,,,,[],,,NDA018793
,,,,[],,,ANDA090773
,,,,[],,,ANDA090798
,,,,[],,,NDA018800
,,,,[],,,ANDA090833
,,,,[],,,ANDA090837
,,,,[],,,ANDA090841
,,,,[],,,ANDA090844
,,,,[],,,ANDA090869
,,,,[],,,ANDA090881
,,,,[],,,NDA018806
,,,,[],,,ANDA090902
,,,,[],,,ANDA090906
,,,,[],,,ANDA090934
,,,,[],,,ANDA090950
,,,,[],,,ANDA090958
,,,,[],,,ANDA090970
,,,,[],,,NDA018818
,,,,[],,,ANDA091009
,,,,[],,,ANDA091048
,,,,[],,,ANDA091077
,,,,[],,,ANDA091091
,,,,[],,,ANDA091095
,,,,[],,,ANDA091103
,,,,[],,,ANDA091108
,,,,[],,,NDA018830
,,,,[],,,ANDA091123
,,,,[],,,ANDA091165
,,,,[],,,ANDA091188
,,,,[],,,ANDA091193
,,,,[],,,ANDA091200
,,,,[],,,ANDA091206
,,,,[],,,ANDA091211
,,,,[],,,ANDA091228
,,,,[],,,ANDA091268
,,,,[],,,ANDA091297
,,,,[],,,ANDA091299
,,,,[],,,ANDA091305
,,,,[],,,ANDA091333
,,,,[],,,NDA018859
,,,,[],,,ANDA091345
,,,,[],,,ANDA091356
,,,,[],,,ANDA091363
,,,,[],,,ANDA091364
,,,,[],,,ANDA091374
,,,,[],,,ANDA091383
,,,,[],,,ANDA091384
,,,,[],,,ANDA091387
,,,,[],,,NDA018865
,,,,[],,,ANDA091427
,,,,[],,,ANDA091437
,,,,[],,,ANDA091442
,,,,[],,,ANDA091471
,,,,[],,,ANDA091486
,,,,[],,,ANDA091487
,,,,[],,,ANDA091489
,,,,[],,,ANDA091503
,,,,[],,,ANDA091513
,,,,[],,,ANDA091522
,,,,[],,,NDA018873
,,,,[],,,ANDA091553
,,,,[],,,ANDA091563
,,,,[],,,ANDA091567
,,,,[],,,ANDA091583
,,,,[],,,NDA008506
,,,,[],,,ANDA091596
,,,,[],,,ANDA091620
,,,,[],,,ANDA091634
,,,,[],,,ANDA091649
,,,,[],,,ANDA091652
,,,,[],,,ANDA091654
,,,,[],,,ANDA091658
,,,,[],,,ANDA091661
,,,,[],,,NDA018888
,,,,[],,,ANDA091684
,,,,[],,,BLA103132
,,,,[],,,BLA103948
,,,,[],,,BLA103951
,,,,[],,,BLA125166
,,,,[],,,BLA125288
,,,,[],,,BLA125294
,,,,[],,,BLA125370
,,,,[],,,BLA125377
,,,,[],,,BLA125476
,,,,[],,,ANDA200022
,,,,[],,,NDA018905
,,,,[],,,ANDA200146
,,,,[],,,ANDA200169
,,,,[],,,NDA018911
,,,,[],,,ANDA200217
,,,,[],,,ANDA200250
,,,,[],,,ANDA200274
,,,,[],,,ANDA200275
,,,,[],,,NDA018922
,,,,[],,,ANDA200529
,,,,[],,,NDA200582
,,,,[],,,ANDA200626
,,,,[],,,ANDA200630
,,,,[],,,ANDA200645
,,,,[],,,ANDA200648
,,,,[],,,ANDA200651
,,,,[],,,NDA200656
,,,,[],,,ANDA200735
,,,,[],,,ANDA200739
,,,,[],,,ANDA200816
,,,,[],,,ANDA200830
,,,,[],,,ANDA200888
,,,,[],,,ANDA200892
,,,,[],,,ANDA200899
,,,,[],,,ANDA200961
,,,,[],,,ANDA201013
,,,,[],,,ANDA201014
,,,,[],,,ANDA201024
,,,,[],,,ANDA201046
,,,,[],,,ANDA201049
,,,,[],,,NDA018959
,,,,[],,,NDA201153
,,,,[],,,ANDA201192
,,,,[],,,ANDA201278
,,,,[],,,ANDA201335
,,,,[],,,ANDA201379
,,,,[],,,ANDA201422
,,,,[],,,ANDA201486
,,,,[],,,ANDA201504
,,,,[],,,ANDA201507
,,,,[],,,ANDA201509
,,,,[],,,ANDA201524
,,,,[],,,NDA201525
,,,,[],,,ANDA201528
,,,,[],,,ANDA201533
,,,,[],,,ANDA201578
,,,,[],,,ANDA201584
,,,,[],,,ANDA201619
,,,,[],,,ANDA201658
,,,,[],,,ANDA201675
